Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
GAA1	Default	11/15/2019	8:11 AM	-12.67	ng/ul	-0.253	-0.184	1.37	0.41	50.00	260	-0.253	-0.269	DNA-50
GAM1	Default	11/15/2019	8:12 AM	-5.936	ng/ul	-0.119	-0.100	1.18	0.23	50.00	260	-0.119	-0.314	DNA-50
LIA1	Default	11/15/2019	8:13 AM	5.917	ng/ul	0.118	0.062	1.90	2.11	50.00	260	0.118	-0.112	DNA-50
MWG1	Default	11/15/2019	8:14 AM	-9.301	ng/ul	-0.186	-0.137	1.36	0.35	50.00	260	-0.186	-0.286	DNA-50
GAA2	Default	11/15/2019	8:15 AM	-10.87	ng/ul	-0.217	-0.164	1.32	0.38	50.00	260	-0.217	-0.270	DNA-50
LIA2	Default	11/15/2019	8:16 AM	18.58	ng/ul	0.372	0.223	1.66	0.76	50.00	260	0.372	-0.026	DNA-50
MWG2	Default	11/15/2019	8:17 AM	-4.537	ng/ul	-0.091	-0.090	1.01	0.18	50.00	260	-0.091	-0.341	DNA-50
GAA3	Default	11/15/2019	8:18 AM	187.1	ng/ul	3.742	3.508	1.07	0.31	50.00	260	3.742	-0.082	DNA-50
GAM3	Default	11/15/2019	8:19 AM	367.9	ng/ul	7.358	5.665	1.30	0.60	50.00	260	7.358	0.452	DNA-50
LIA3	Default	11/15/2019	8:20 AM	692.2	ng/ul	13.844	9.522	1.45	0.47	50.00	260	13.844	0.344	DNA-50
MWG3	Default	11/15/2019	8:21 AM	281.6	ng/ul	5.633	4.301	1.31	0.37	50.00	260	5.633	-0.300	DNA-50
