# BUSCO version is: 3.1.0 
# The lineage dataset is: mollusca_odb10 (Creation date: 2019-11-20, number of species: 7, number of BUSCOs: 5295)
# To reproduce this run: python /programs/busco-3.1.0/scripts/run_BUSCO.py -i ./Similis_Trinity.fasta -o trinityBUSCO_Similis -l ./mollusca_odb10/ -m transcriptome -c 22
#
# Busco id	Status	Sequence	Score	Length
10002at6447	Fragmented	TRINITY_DN77892_c0_g1_i1	183.6	93
10005at6447	Complete	TRINITY_DN10446_c0_g1_i1	249.1	383
10007at6447	Duplicated	TRINITY_DN153_c0_g1_i1	178.3	106
10007at6447	Duplicated	TRINITY_DN153_c0_g1_i2	178.0	106
10007at6447	Duplicated	TRINITY_DN153_c0_g1_i3	178.1	106
10009at6447	Complete	TRINITY_DN1823_c1_g1_i1	186.3	125
1000at6447	Missing
10010at6447	Duplicated	TRINITY_DN879_c2_g1_i3	277.4	190
10010at6447	Duplicated	TRINITY_DN879_c2_g1_i4	275.6	205
10010at6447	Duplicated	TRINITY_DN879_c2_g1_i6	275.6	227
10013at6447	Missing
10014at6447	Duplicated	TRINITY_DN8401_c0_g1_i2	194.9	179
10014at6447	Duplicated	TRINITY_DN8401_c0_g1_i3	194.9	179
10014at6447	Duplicated	TRINITY_DN8401_c0_g1_i5	194.7	179
10016at6447	Complete	TRINITY_DN45746_c0_g1_i1	253.2	165
10018at6447	Duplicated	TRINITY_DN2276_c0_g1_i1	176.5	127
10018at6447	Duplicated	TRINITY_DN2276_c0_g1_i2	176.5	127
10019at6447	Complete	TRINITY_DN5565_c0_g1_i1	185.2	102
1001at6447	Duplicated	TRINITY_DN11590_c1_g1_i2	1032.2	694
1001at6447	Duplicated	TRINITY_DN11590_c1_g1_i3	1032.2	694
1001at6447	Duplicated	TRINITY_DN11590_c1_g1_i5	1041.3	694
10021at6447	Duplicated	TRINITY_DN41814_c0_g1_i1	261.3	227
10021at6447	Duplicated	TRINITY_DN41814_c0_g1_i2	261.8	228
10022at6447	Duplicated	TRINITY_DN10365_c0_g1_i1	180.4	120
10022at6447	Duplicated	TRINITY_DN10365_c0_g1_i2	180.3	121
10025at6447	Complete	TRINITY_DN311_c0_g1_i3	175.4	253
10027at6447	Duplicated	TRINITY_DN91_c0_g2_i1	150.5	139
10027at6447	Duplicated	TRINITY_DN91_c0_g2_i2	150.6	139
10030at6447	Complete	TRINITY_DN12834_c0_g1_i1	219.7	204
10031at6447	Missing
10036at6447	Duplicated	TRINITY_DN3727_c0_g1_i1	299.7	956
10036at6447	Duplicated	TRINITY_DN3727_c0_g1_i2	299.7	956
10036at6447	Duplicated	TRINITY_DN3727_c0_g1_i3	295.7	672
10039at6447	Complete	TRINITY_DN17579_c0_g2_i1	228.0	356
10046at6447	Complete	TRINITY_DN7025_c1_g1_i1	182.2	102
10047at6447	Complete	TRINITY_DN26616_c0_g1_i1	196.1	158
10052at6447	Duplicated	TRINITY_DN2222_c0_g1_i1	114.7	110
10052at6447	Duplicated	TRINITY_DN2222_c0_g1_i2	114.6	110
10055at6447	Duplicated	TRINITY_DN21894_c0_g1_i1	210.8	189
10055at6447	Duplicated	TRINITY_DN21894_c0_g1_i2	211.7	172
10058at6447	Missing
10059at6447	Missing
1005at6447	Missing
10060at6447	Duplicated	TRINITY_DN2102_c0_g1_i1	295.8	201
10060at6447	Duplicated	TRINITY_DN2102_c0_g1_i2	295.8	201
10064at6447	Complete	TRINITY_DN12594_c0_g1_i1	207.5	157
10066at6447	Duplicated	TRINITY_DN4638_c0_g2_i2	321.9	265
10066at6447	Duplicated	TRINITY_DN4638_c0_g2_i3	321.9	265
10066at6447	Duplicated	TRINITY_DN4638_c0_g2_i4	278.1	247
10067at6447	Duplicated	TRINITY_DN54858_c0_g1_i1	296.6	262
10067at6447	Duplicated	TRINITY_DN54858_c0_g1_i2	296.5	262
1006at6447	Duplicated	TRINITY_DN390_c0_g1_i10	1014.9	888
1006at6447	Duplicated	TRINITY_DN390_c0_g1_i13	1015.5	888
10073at6447	Duplicated	TRINITY_DN11310_c0_g2_i2	156.2	69
10073at6447	Duplicated	TRINITY_DN11310_c0_g2_i3	156.8	69
10074at6447	Duplicated	TRINITY_DN1949_c0_g1_i1	159.2	82
10074at6447	Duplicated	TRINITY_DN1949_c0_g1_i2	159.4	82
10075at6447	Duplicated	TRINITY_DN7970_c0_g1_i1	100.2	114
10075at6447	Duplicated	TRINITY_DN7970_c0_g1_i4	100.4	114
10075at6447	Duplicated	TRINITY_DN7970_c0_g1_i5	100.5	114
10076at6447	Complete	TRINITY_DN40124_c0_g1_i1	134.5	97
1007at6447	Missing
10080at6447	Missing
10082at6447	Missing
10084at6447	Complete	TRINITY_DN30821_c0_g1_i1	152.8	148
10088at6447	Fragmented	TRINITY_DN26251_c0_g1_i1	113.2	87
10089at6447	Complete	TRINITY_DN23072_c0_g1_i1	207.8	175
1008at6447	Complete	TRINITY_DN9923_c0_g2_i1	1354.2	797
10091at6447	Duplicated	TRINITY_DN5108_c0_g1_i6	241.6	189
10091at6447	Duplicated	TRINITY_DN5108_c0_g1_i8	241.8	189
10095at6447	Complete	TRINITY_DN8716_c0_g2_i1	279.7	225
10098at6447	Duplicated	TRINITY_DN172_c0_g1_i1	171.0	99
10098at6447	Duplicated	TRINITY_DN172_c0_g1_i2	170.8	99
10098at6447	Duplicated	TRINITY_DN172_c0_g1_i3	170.8	99
1009at6447	Duplicated	TRINITY_DN89_c1_g1_i3	1079.8	659
1009at6447	Duplicated	TRINITY_DN89_c1_g1_i6	1079.8	659
1009at6447	Duplicated	TRINITY_DN89_c1_g1_i8	1053.1	659
10100at6447	Missing
10102at6447	Complete	TRINITY_DN3193_c0_g1_i1	281.0	249
10103at6447	Complete	TRINITY_DN2641_c0_g1_i1	198.6	120
10109at6447	Duplicated	TRINITY_DN7550_c0_g1_i2	168.9	223
10109at6447	Duplicated	TRINITY_DN7550_c0_g1_i5	168.6	223
10109at6447	Duplicated	TRINITY_DN7550_c0_g1_i6	168.6	223
1010at6447	Missing
10111at6447	Complete	TRINITY_DN81118_c0_g1_i1	231.9	200
10115at6447	Missing
1011at6447	Duplicated	TRINITY_DN12818_c0_g1_i3	1433.2	1049
1011at6447	Duplicated	TRINITY_DN12818_c0_g1_i6	1433.2	1049
10122at6447	Missing
10127at6447	Complete	TRINITY_DN62178_c0_g1_i1	176.1	126
